"name","notch","supername","package","side"
"EntityEnderCrystal","sf","Entity","net/minecraft/src","0"
"RecipesArmor","xx","","net/minecraft/src","0"
"BiomeGenHills","az","BiomeGenBase","net/minecraft/src","0"
"ComponentVillage","xf","StructureComponent","net/minecraft/src","0"
"ModelSheep1","od","ModelQuadruped","net/minecraft/src","0"
"Packet1Login","aj","Packet","net/minecraft/src","0"
"GuiDownloadTerrain","acd","GuiScreen","net/minecraft/src","0"
"StatTypeTime","i","","net/minecraft/src","0"
"IProgressUpdate","rz","","net/minecraft/src","0"
"EntityDragonBase","adh","EntityLiving","net/minecraft/src","0"
"InventoryCraftResult","iy","","net/minecraft/src","0"
"SaveOldDir","ar","SaveHandler","net/minecraft/src","0"
"ItemHoe","wr","Item","net/minecraft/src","0"
"EntityFX","wc","Entity","net/minecraft/src","0"
"Packet54PlayNoteBlock","agm","Packet","net/minecraft/src","0"
"BlockNetherrack","et","Block","net/minecraft/src","0"
"IBlockAccess","kq","","net/minecraft/src","0"
"RenderManager","wb","","net/minecraft/src","0"
"EntityEnderman","aii","EntityMob","net/minecraft/src","0"
"EntityAuraFX","cn","EntityFX","net/minecraft/src","0"
"BlockRedstoneRepeater","mz","Block","net/minecraft/src","0"
"ModelMinecart","iv","ModelBase","net/minecraft/src","0"
"RenderDragon","ado","RenderLiving","net/minecraft/src","0"
"Packet2Handshake","hh","Packet","net/minecraft/src","0"
"PlayerControllerCreative","uq","PlayerController","net/minecraft/src","0"
"RenderGlobal","afv","","net/minecraft/src","0"
"J_JsonArrayNodeBuilder","ft","","net/minecraft/src","0"
"ItemRecord","pe","Item","net/minecraft/src","0"
"WorldGenFlowers","bu","WorldGenerator","net/minecraft/src","0"
"BlockTallGrass","kv","BlockFlower","net/minecraft/src","0"
"ComponentStrongholdCrossing","kt","ComponentStronghold","net/minecraft/src","0"
"ModelBoat","ua","ModelBase","net/minecraft/src","0"
"ModelChest","xl","ModelBase","net/minecraft/src","0"
"ThreadedFileIOBase","ll","","net/minecraft/src","0"
"EntityFlying","wk","EntityLiving","net/minecraft/src","0"
"EnumCreatureAttribute","el","","net/minecraft/src","0"
"EffectRenderer","f","","net/minecraft/src","0"
"RegionFileChunkBuffer","ahg","","net/minecraft/src","0"
"SoundPool","cf","","net/minecraft/src","0"
"GuiSlotStatsBlock","hz","GuiSlotStats","net/minecraft/src","0"
"NetworkReaderThread","pa","","net/minecraft/src","0"
"GuiConflictWarning","ach","GuiScreen","net/minecraft/src","0"
"MaterialPortal","bk","Material","net/minecraft/src","0"
