client,server,newid
field_1000_j,*,field_73984_m
field_1002_h,*,field_73982_c
field_1003_b,*,field_73725_b
field_1004_a,*,field_73727_a
field_1005_e,*,field_73724_e
field_1006_d,*,field_73723_d
field_1007_c,*,field_73726_c
field_1008_b,field_774_b,field_73662_b
field_1009_a,field_775_a,field_73664_a
field_1010_d,field_776_d,field_73661_d
field_1011_c,field_777_c,field_73663_c
field_1012_M,field_778_L,field_72991_N
field_1017_H,field_783_G,field_73020_y
field_1019_F,field_6159_E,field_73001_c
field_1024_A,field_790_z,field_72997_g
field_1026_y,field_792_x,field_72995_K
field_1037_n,field_803_m,field_73012_v
field_1039_l,field_804_l,field_73013_u
field_1040_k,field_805_k,field_73010_i
field_1043_h,field_808_h,field_73014_t
field_1046_e,field_811_e,field_73008_k
field_1049_b,field_814_b,field_73009_h
field_1050_a,field_815_a,field_72996_f
field_1052_A,*,field_73035_a
field_1053_F,*,field_73036_L
field_1055_D,*,field_73034_c
field_1059_b,field_822_b,field_72816_b
field_1060_a,field_823_a,field_72818_a
field_1061_d,field_824_d,field_72815_e
field_1062_c,field_825_c,field_72817_c
field_1075_l,*,field_78777_l
field_1080_g,*,field_78771_g
field_1087_a,field_731_a,field_74741_a
field_1088_a,field_734_a,field_74752_a
field_1089_a,field_735_a,field_74755_a
field_1090_b,field_736_b,field_74746_b
field_1091_a,field_737_a,field_74747_a
field_1092_a,field_741_a,field_74756_a
field_1093_a,field_742_a,field_74748_a
field_1094_a,field_738_a,field_74784_a
field_1095_a,field_740_a,field_74753_a
field_1096_a,field_733_a,field_74754_a
field_1097_a,field_739_a,field_74750_a
field_1098_a,field_732_a,field_74751_a
field_1099_b,field_20113_b,field_77584_b
field_1100_a,field_20114_a,field_77585_a
field_1103_d,*,field_78820_c
field_1104_c,*,field_78819_b
field_1105_b,field_840_b,field_76033_b
field_1106_a,field_841_a,field_76035_a
field_1107_d,field_842_d,field_76032_d
field_1108_c,field_843_c,field_76034_c
field_1109_a,field_844_a,field_76585_a
field_1110_b,field_845_b,field_76928_b
field_1111_a,field_846_a,field_76930_a
field_1112_c,field_847_c,field_76929_c
field_1113_b,*,field_74375_b
field_1114_a,*,field_74377_a
field_1117_c,*,field_74376_c
field_1118_b,field_20096_b,field_75224_c
field_1119_a,field_20097_a,field_75225_a
field_1123_d,field_20101_b,field_75235_b
field_1124_c,field_20102_a,field_75236_a
field_1125_c,field_20103_a,field_75239_a
field_1126_b,*,field_76850_b
field_1127_a,*,field_76852_a
field_1128_f,*,field_76847_f
field_1129_e,*,field_76849_e
field_1130_d,*,field_76848_d
field_1131_c,*,field_76851_c
field_1132_h,*,field_76870_h
field_1133_g,*,field_76869_g
field_1134_k,*,field_76882_k
field_1135_j,*,field_76881_j
field_1136_i,*,field_76884_i
field_1137_h,*,field_76883_h
field_1138_g,*,field_76880_g
field_1139_k,*,field_76873_k
field_1140_j,*,field_76872_j
field_1141_i,*,field_76875_i
field_1142_h,*,field_76874_h
field_1143_g,*,field_76871_g
field_1144_j,*,field_76877_j
field_1145_i,*,field_76879_i
field_1146_h,*,field_76878_h
field_1147_g,*,field_76876_g
field_1154_k,*,field_76857_k
field_1155_j,*,field_76856_j
field_1156_i,*,field_76859_i
field_1157_h,*,field_76858_h
field_1158_g,*,field_76855_g
field_1159_b,field_887_b,field_73657_b
field_1160_a,field_888_a,field_73659_a
field_1161_g,field_889_g,field_73654_g
field_1163_e,field_891_e,field_73656_e
