param,name,side
p_70000_1_,par1PlayerUsageSnooper,2
p_70001_1_,par1PlayerUsageSnooper,2
p_70003_1_,par1,2
p_70003_2_,par2Str,2
p_70004_1_,par1Str,2
p_70004_2_,par2ArrayOfObj,2
p_70006_1_,par1Str,2
p_70011_1_,par1,2
p_70011_3_,par3,2
p_70011_5_,par5,2
p_70012_1_,par1,2
p_70012_3_,par3,2
p_70012_5_,par5,2
p_70012_7_,par7,2
p_70012_8_,par8,2
p_70013_1_,par1,2
p_70014_1_,par1NBTTagCompound,2
p_70015_1_,par1,2
p_70016_1_,par1,2
p_70016_3_,par3,2
p_70016_5_,par5,2
p_70019_1_,par1,2
p_70020_1_,par1NBTTagCompound,2
p_70024_1_,par1,2
p_70024_3_,par3,2
p_70024_5_,par5,2
p_70025_1_,par1,2
p_70025_2_,par2,2
p_70028_1_,par1Entity,2
p_70029_1_,par1World,2
p_70031_1_,par1,2
p_70032_1_,par1Entity,2
p_70034_1_,par1,2
p_70036_1_,par1,2
p_70036_2_,par2,2
p_70036_3_,par3,2
p_70036_4_,par4,2
p_70037_1_,par1NBTTagCompound,2
p_70038_1_,par1,2
p_70038_3_,par3,2
p_70038_5_,par5,2
p_70039_1_,par1NBTTagCompound,2
p_70048_1_,par1,2
p_70048_3_,par3,2
p_70048_5_,par5,2
p_70049_1_,par1ArrayOfFloat,2
p_70050_1_,par1,2
p_70052_1_,par1,2
p_70052_2_,par2,2
p_70054_1_,par1,2
p_70054_2_,par2,2
p_70054_3_,par3,2
p_70055_1_,par1Material,2
p_70056_1_,par1,2
p_70056_3_,par3,2
p_70056_5_,par5,2
p_70056_7_,par7,2
p_70056_8_,par8,2
p_70056_9_,par9,2
p_70060_1_,par1,2
p_70060_2_,par2,2
p_70060_3_,par3,2
p_70061_1_,par1Entity,2
p_70062_1_,par1,2
p_70062_2_,par2ItemStack,2
p_70064_1_,par1,2
p_70064_3_,par3,2
p_70068_1_,par1Entity,2
p_70069_1_,par1,2
p_70070_1_,par1,2
p_70074_1_,par1EntityLiving,2
p_70077_1_,par1EntityLightningBolt,2
p_70078_1_,par1Entity,2
p_70080_1_,par1,2
p_70080_3_,par3,2
p_70080_5_,par5,2
p_70080_7_,par7,2
p_70080_8_,par8,2
p_70081_1_,par1,2
p_70082_1_,par1,2
p_70082_2_,par2,2
p_70083_1_,par1,2
p_70084_1_,par1Entity,2
p_70084_2_,par2,2
