searge,name,side,desc
field_70009_b,chatBuffer,2,
field_70010_a,consoleBuffer,2,only ever used by MinecraftServer.executeCommand
field_70116_cv,serverPosZ,2,
field_70117_cu,serverPosY,2,
field_70118_ct,serverPosX,2,
field_70119_cs,cloakUrl,2,downloadable location of player's cloak
field_70120_cr,skinUrl,2,downloadable location of player's skin
field_70121_D,boundingBox,2,Axis aligned bounding box.
field_70122_E,onGround,2,
field_70123_F,isCollidedHorizontally,2,True if after a move this entity has collided with something on X- or Z-axis
field_70124_G,isCollidedVertically,2,True if after a move this entity has collided with something on Y-axis
field_70125_A,rotationPitch,2,Entity rotation Pitch
field_70126_B,prevRotationYaw,2,
field_70127_C,prevRotationPitch,2,
field_70128_L,isDead,2,"Gets set by setDead, so this must be the flag whether an Entity is dead (inactive may be better term)"
field_70129_M,yOffset,2,
field_70130_N,width,2,How wide this entity is considered to be
field_70131_O,height,2,How high this entity is considered to be
field_70132_H,isCollided,2,True if after a move this entity has collided with something either vertically or horizontally
field_70133_I,velocityChanged,2,
field_70134_J,isInWeb,2,
field_70136_U,lastTickPosZ,2,"The entity's Z coordinate at the previous tick, used to calculate position during rendering routines"
field_70137_T,lastTickPosY,2,"The entity's Y coordinate at the previous tick, used to calculate position during rendering routines"
field_70138_W,stepHeight,2,How high this entity can step up when running into a block to try to get over it (currently make note the entity will always step up this amount and not just the amount needed)
field_70139_V,ySize,2,
field_70140_Q,distanceWalkedModified,2,The distance walked multiplied by 0.6
field_70141_P,prevDistanceWalkedModified,2,The previous ticks distance walked multiplied by 0.6
field_70142_S,lastTickPosX,2,"The entity's X coordinate at the previous tick, used to calculate position during rendering routines"
field_70143_R,fallDistance,2,
field_70144_Y,entityCollisionReduction,2,Reduces the velocity applied by entity collisions by the specified percent.
field_70145_X,noClip,2,Whether this entity won't clip with collision or not (make note it won't disable gravity)
field_70146_Z,rand,2,
field_70147_f,entityRiderYawDelta,2,
field_70148_d,firstUpdate,2,
field_70149_e,entityRiderPitchDelta,2,
field_70150_b,nextStepDistance,2,The distance that has to be exceeded in order to triger a new step sound and an onEntityWalking event on a block
field_70151_c,fire,2,
field_70152_a,nextEntityID,2,
field_70153_n,riddenByEntity,2,The entity that is riding this entity
field_70154_o,ridingEntity,2,The entity we are currently riding
field_70155_l,renderDistanceWeight,2,
field_70156_m,preventEntitySpawning,2,Blocks entities from spawning when they do their AABB check to make sure the spot is clear of entities that can prevent spawning.
field_70157_k,entityId,2,
field_70158_ak,ignoreFrustumCheck,2,Render entity even if it is outside the camera frustum. Only true in EntityFish for now. Used in RenderGlobal: render if ignoreFrustumCheck or in frustum.
field_70159_w,motionX,2,Entity motion X
field_70160_al,isAirBorne,2,
field_70161_v,posZ,2,Entity position Z
field_70162_ai,chunkCoordY,2,
field_70163_u,posY,2,Entity position Y
field_70164_aj,chunkCoordZ,2,
field_70165_t,posX,2,Entity position X
field_70166_s,prevPosZ,2,
field_70167_r,prevPosY,2,
field_70168_am,myEntitySize,2,
field_70169_q,prevPosX,2,
field_70170_p,worldObj,2,Reference to the World object.
field_70171_ac,inWater,2,Whether this entity is currently inside of water (if it handles water movement that is)
field_70172_ad,hurtResistantTime,2,"Remaining time an entity will be ""immune"" to further damage after being hurt."
field_70173_aa,ticksExisted,2,How many ticks has this entity had ran since being alive
field_70174_ab,fireResistance,2,The amount of ticks you have to stand inside of fire before be set on fire
field_70175_ag,addedToChunk,2,Has this entity been added to the chunk its within
field_70176_ah,chunkCoordX,2,
field_70177_z,rotationYaw,2,Entity rotation Yaw
field_70178_ae,isImmuneToFire,2,
field_70179_y,motionZ,2,Entity motion Z
field_70180_af,dataWatcher,2,
field_70181_x,motionY,2,Entity motion Y
field_70187_f,zTile,2,
field_70188_g,inTile,2,
field_70189_d,xTile,2,
field_70190_e,yTile,2,
field_70191_b,throwableShake,2,
field_70192_c,thrower,2,"Is the entity that throws this 'thing' (snowball, ender pearl, eye of ender or potion)"
field_70193_a,inGround,2,
field_70194_h,ticksInGround,2,
field_70195_i,ticksInAir,2,
field_70197_d,potionDamage,2,The damage value of the thrown potion that this EntityPotion represents.
field_70200_f,zTile,2,"The tile this entity is on, Z position"
field_70201_g,inTile,2,
field_70202_d,xTile,2,"The tile this entity is on, X position"
field_70203_e,yTile,2,"The tile this entity is on, Y position"
field_70204_b,angler,2,
field_70205_c,bobber,2,"The entity that the fishing rod is connected to, if any. When you right click on the fishing rod and the hook falls on to an entity, this it that entity."
field_70206_a,shake,2,
field_70207_at,fishPitch,2,
field_70208_as,fishYaw,2,
field_70209_ar,fishZ,2,
field_70210_aq,fishY,2,
field_70211_j,ticksInAir,2,
field_70212_aw,velocityZ,2,
field_70213_av,velocityY,2,
field_70214_h,inGround,2,
field_70215_au,velocityX,2,
field_70216_i,ticksInGround,2,
field_70217_ao,fishPosRotationIncrements,2,
field_70218_ap,fishX,2,
field_70219_an,ticksCatchable,2,the number of ticks remaining until this fish can no longer be caught
field_70221_f,shatterOrDrop,2,
field_70222_d,targetZ,2,'z' location the eye should float towards.
field_70223_e,despawnTimer,2,
field_70224_b,targetX,2,'x' location the eye should float towards.
field_70225_c,targetY,2,'y' location the eye should float towards.
field_70228_f,yTile,2,
field_70229_g,zTile,2,
field_70230_d,accelerationZ,2,
field_70231_e,xTile,2,
field_70232_b,accelerationX,2,
field_70233_c,accelerationY,2,
field_70234_an,ticksInAir,2,
field_70235_a,shootingEntity,2,
field_70236_j,ticksAlive,2,
field_70237_h,inTile,2,
field_70238_i,inGround,2,
field_70245_f,zTile,2,
field_70246_g,inTile,2,
field_70247_d,xTile,2,
field_70248_e,yTile,2,
field_70249_b,arrowShake,2,Seems to be some sort of timer for animating an arrow.
field_70250_c,shootingEntity,2,The owner of this arrow.
field_70251_a,canBePickedUp,2,1 if the player can pick up the arrow
field_70252_j,ticksInGround,2,
field_70253_h,inData,2,
field_70254_i,inGround,2,
field_70255_ao,damage,2,
field_70256_ap,knockbackStrength,2,The amount of knockback an arrow applies when it hits a mob.
field_70257_an,ticksInAir,2,
field_70258_b,name,2,The name of the Dragon Part
field_70259_a,entityDragonObj,2,The dragon entity this dragon part belongs to
field_70260_b,health,2,
field_70261_a,innerRotation,2,Used to create the rotation animation when rendering the crystal.
field_70262_b,lightningState,2,"Declares which state the lightning bolt is in. Whether it's in the air, hit the ground, etc."
field_70263_c,boltLivingTime,2,Determines the time before the EntityLightningBolt is destroyed. It is a random integer decremented over time.
field_70264_a,boltVertex,2,A random long that is used to change the vertex of the lightning rendered in RenderLightningBolt
field_70272_f,boatZ,2,
field_70273_g,boatYaw,2,
field_70274_d,boatX,2,
field_70275_e,boatY,2,
field_70277_c,boatPosRotationIncrements,2,
field_70278_an,velocityZ,2,
field_70280_j,velocityY,2,
field_70281_h,boatPitch,2,
field_70282_i,velocityX,2,
field_70284_d,shouldDropItem,2,
field_70285_b,metadata,2,
field_70286_c,fallTime,2,How long the block has been falling for.
field_70287_a,blockID,2,
field_70290_d,hoverStart,2,The EntityItem's random initial float height.
field_70291_e,health,2,"The health of this EntityItem. (For example, damage for tools)"
