class,package
ActiveRenderInfo,net/minecraft/client
BossStatus,net/minecraft/client
CallableClientMemoryStats,net/minecraft/client
CallableClientProfiler,net/minecraft/client
CallableGLInfo,net/minecraft/client
CallableIsModded,net/minecraft/client
CallableLastTickedParticle,net/minecraft/client
CallableLWJGLVersion,net/minecraft/client
CallableModded,net/minecraft/client
CallableMouseLocation,net/minecraft/client
CallableMPL1,net/minecraft/client
CallableMPL2,net/minecraft/client
CallableParticlePositionInfo,net/minecraft/client
CallableParticleScreenName,net/minecraft/client
CallableScreenName,net/minecraft/client
CallableScreenSize,net/minecraft/client
CallableTexturePack,net/minecraft/client
CallableTickingScreenName,net/minecraft/client
CallableType2,net/minecraft/client
CallableType3,net/minecraft/client
CallableUpdatingScreenName,net/minecraft/client
CanvasCrashReport,net/minecraft/client
CanvasMinecraftApplet,net/minecraft/client
CanvasMojangLogo,net/minecraft/client
ChatClickData,net/minecraft/client
ChatLine,net/minecraft/client
ChestItemRenderHelper,net/minecraft/client
ChunkProviderClient,net/minecraft/client
ClippingHelper,net/minecraft/client
ClippingHelperImpl,net/minecraft/client
CodecMus,net/minecraft/client
ColorizerFoliage,net/minecraft/client
ColorizerGrass,net/minecraft/client
ColorizerWater,net/minecraft/client
ContainerCreative,net/minecraft/client
CreativeCrafting,net/minecraft/client
DestroyBlockProgress,net/minecraft/client
EffectRenderer,net/minecraft/client
EnchantmentNameParts,net/minecraft/client
EntityAuraFX,net/minecraft/client
EntityBreakingFX,net/minecraft/client
EntityBubbleFX,net/minecraft/client
EntityClientPlayerMP,net/minecraft/client
EntityCloudFX,net/minecraft/client
EntityCrit2FX,net/minecraft/client
EntityCritFX,net/minecraft/client
EntityDiggingFX,net/minecraft/client
EntityDropParticleFX,net/minecraft/client
EntityEnchantmentTableParticleFX,net/minecraft/client
EntityExplodeFX,net/minecraft/client
EntityFlameFX,net/minecraft/client
EntityFootStepFX,net/minecraft/client
EntityFX,net/minecraft/client
EntityHeartFX,net/minecraft/client
EntityHugeExplodeFX,net/minecraft/client
EntityLargeExplodeFX,net/minecraft/client
EntityLavaFX,net/minecraft/client
EntityNoteFX,net/minecraft/client
EntityOtherPlayerMP,net/minecraft/client
EntityPickupFX,net/minecraft/client
EntityPlayerSP,net/minecraft/client
EntityPortalFX,net/minecraft/client
EntityRainFX,net/minecraft/client
EntityReddustFX,net/minecraft/client
EntityRenderer,net/minecraft/client
EntitySmokeFX,net/minecraft/client
EntitySnowShovelFX,net/minecraft/client
EntitySorter,net/minecraft/client
EntitySpellParticleFX,net/minecraft/client
EntitySplashFX,net/minecraft/client
EntitySuspendFX,net/minecraft/client
EnumOptions,net/minecraft/client
EnumOptionsHelper,net/minecraft/client
EnumOS,net/minecraft/client
EnumOSHelper,net/minecraft/client
EnumRarity,net/minecraft/client
FontRenderer,net/minecraft/client
Frustrum,net/minecraft/client
GameSettings,net/minecraft/client
GameWindowListener,net/minecraft/client
GLAllocation,net/minecraft/client
Gui,net/minecraft/client
