searge,name,side,desc
func_1000_a,addEntity,0,Adds an entity to the chunk. Args: entity
func_1001_a,addTileEntity,0,Adds a TileEntity to a chunk
func_1002_d,getChunkBlockTileEntity,0,Gets the TileEntity for a given block in this chunk
func_1003_g,relightBlock,0,Initiates the recalculation of both the block-light and sky-light for a given block inside a chunk.
func_1005_a,setChunkBlockTileEntity,0,Sets the TileEntity for a given block in this chunk
func_1006_f,setChunkModified,0,Sets the isModified flag for this Chunk
func_1007_c,canBlockSeeTheSky,0,Returns whether is not a block above this one blocking sight to the sky (done via checking against the heightmap)
func_1008_a,getBlockID,0,Return the ID of a block in the chunk.
func_1009_b,setBlockMetadata,0,Set the metadata of a block in the chunk
func_1010_a,setBlockIDWithMetadata,0,"Sets a blockID of a position within a chunk with metadata. Args: x, y, z, blockID, metadata"
func_1011_a,setLightValue,0,"Sets the light value at the coordinate. If enumskyblock is set to sky it sets it in the skylightmap and if its a block then into the blocklightmap. Args enumSkyBlock, x, y, z, lightValue"
func_1012_a,needsSaving,0,Returns true if this Chunk needs to be saved
func_1013_a,getEntitiesOfTypeWithinAAAB,0,"Gets all entities that can be assigned to the specified class. Args: entityClass, aabb, listToFill"
func_1015_b,removeEntity,0,removes entity using its y chunk coordinate as its index
func_1016_a,removeEntityAtIndex,0,Removes entity at the specified index from the entity array.
func_1017_a,isAtLocation,0,Checks whether the chunk is at the X/Z location specified
func_1018_b,generateHeightMap,0,Generates the height map for a chunk from scratch
func_1019_c,getBlockLightValue,0,Gets the amount of light on a block taking into account sunlight
func_1020_f,checkSkylightNeighborHeight,0,Checks the height of a block next to a sky-visible block and schedules a lighting update as necessary.
func_1021_b,getBlockMetadata,0,Return the metadata corresponding to the given coordinates inside a chunk.
func_1022_a,setBlockID,0,"Sets a blockID for a position in the chunk. Args: x, y, z, blockID"
func_1023_e,removeChunkBlockTileEntity,0,Removes the TileEntity for a given block in this chunk
func_1024_c,generateSkylightMap,0,Generates the initial skylight map for the chunk upon generation or load.
func_1025_a,getSavedLightValue,0,Gets the amount of light saved in this block (doesn't adjust for daylight)
func_1028_a,hasSpecialRenderer,0,"Returns true if this TileEntity instance has a TileEntitySpecialRenderer associated with it, false otherwise."
func_1030_a,renderTileEntity,0,Render this TileEntity at its current position from the player
func_1031_b,getSpecialRendererForEntity,0,"Returns the TileEntitySpecialRenderer used to render this TileEntity instance, or null if it has no special renderer"
func_1032_a,renderTileEntityAt,0,Render this TileEntity at a given set of coordinates
func_1033_a,sortBack,0,Sorts a point to the left
func_1034_a,addPoint,0,Adds a point to the path
func_1035_a,changeDistance,0,Changes the provided point's distance to target
func_1036_b,dequeue,0,Returns and removes the first point in the path
func_1037_b,sortForward,0,Sorts a point to the right
func_1038_a,clearPath,0,Clears the path
func_1039_c,isPathEmpty,0,Returns true if this path contains no points
func_1040_a,compareRecipes,0,
func_1041_b,saveOptions,0,Saves the options to the options file.
func_1042_a,setKeyBinding,0,Sets a key binding.
func_1043_a,getKeyBinding,0,Gets a key binding.
func_1045_b,setOptionValue,0,"For non-float options. Toggles the option on/off, or cycles through the list i.e. render distances."
func_1047_d,getOptionDisplayString,0,The string that appears inside the button/slider in the options menu.
func_1048_a,setOptionFloatValue,0,"If the specified option is controlled by a slider (float value), this will set the float value."
func_1050_a,parseFloat,0,Parses a string into a float.
func_1051_a,addRecipes,0,Adds the crafting recipes to the CraftingManager.
func_1052_b,removeObject,0,Removes the specified object from the map and returns it
func_1053_a,insert,0,Adds an object to a slot
func_1054_c,removeEntry,0,Removes the specified entry from the map and returns it
func_1055_e,computeHash,0,Makes the passed in integer suitable for hashing by a number of shifts
func_1056_d,getHash,0,Returns the hash code for a key
func_1057_a,lookup,0,Returns the object associated to a key
func_1058_a,clearMap,0,Removes all entries from the map
func_1059_a,copyTo,0,Copies the hash slots to a new array
func_1060_f,grow,0,Increases the number of hash slots
func_1061_a,addKey,0,Adds a key and associated value to this map
func_1062_a,getSlotIndex,0,Computes the index of the slot for the hash and slot count passed in.
func_1063_a,sortByDistanceToEntity,0,Sorts the two world renderers according to their distance to a given entity.
func_1065_b,refreshTextures,0,Call setupTexture on all currently-loaded textures again to account for changes in rendering options
func_1066_a,registerTextureFX,0,
func_1067_a,updateDynamicTextures,0,
func_1068_a,setupTexture,0,Copy the supplied image onto the specified OpenGL texture
func_1069_b,unwrapImageByColumns,0,Takes an image with multiple 16-pixel-wide columns and creates a new 16-pixel-wide image where the columns are stacked vertically
func_1070_a,getTexture,0,
func_1071_a,getTextureForDownloadableImage,0,"Takes a URL of a downloadable image and the name of the local image to be used as a fallback.  If the image has been downloaded, returns the GL texture of the downloaded image, otherwise returns the GL texture of the fallback image."
func_1073_b,releaseImageData,0,"Decrements the reference count for a given URL, deleting the image data if the reference count hits 0"
func_1074_a,allocateAndSetupTexture,0,"Copy the supplied image onto a newly-allocated OpenGL texture, returning the allocated texture name"
func_1075_a,obtainImageData,0,"Return a ThreadDownloadImageData instance for the given URL.  If it does not already exist, it is created and uses the passed ImageBuffer.  If it does, its reference count is incremented."
func_1076_b,bindTexture,0,
func_1077_b,alphaBlend,0,"Uses the alpha of the two colors passed in to determine the contributions of each color.  If either of them has an alpha greater than 0 then the returned alpha is 255 otherwise its zero if they are both zero. Args: color1, color2"
func_1078_a,deleteTexture,0,Deletes a single GL texture
func_1079_a,createEntityByName,0,Create a new instance of an entity in the world by using the entity name.
func_1080_a,addMapping,0,adds a mapping between Entity classes and both a string representation and an ID
func_1081_a,createEntityFromNBT,0,create a new instance of an entity from NBT store
func_1082_a,getEntityID,0,gets the entityID of a specific entity
func_1083_b,getEntityString,0,Gets the string representation of a specific entity.
