param,name,side
p_1000_1_,par1Entity,0
p_1001_1_,par1TileEntity,0
p_1002_1_,par1,0
p_1002_2_,par2,0
p_1002_3_,par3,0
p_1003_1_,par1,0
p_1003_2_,par2,0
p_1003_3_,par3,0
p_1005_1_,par1,0
p_1005_2_,par2,0
p_1005_3_,par3,0
p_1005_4_,par4TileEntity,0
p_1007_1_,par1,0
p_1007_2_,par2,0
p_1007_3_,par3,0
p_1008_1_,par1,0
p_1008_2_,par2,0
p_1008_3_,par3,0
p_1009_1_,par1,0
p_1009_2_,par2,0
p_1009_3_,par3,0
p_1009_4_,par4,0
p_1010_1_,par1,0
p_1010_2_,par2,0
p_1010_3_,par3,0
p_1010_4_,par4,0
p_1010_5_,par5,0
p_1011_1_,par1EnumSkyBlock,0
p_1011_2_,par2,0
p_1011_3_,par3,0
p_1011_4_,par4,0
p_1011_5_,par5,0
p_1012_1_,par1,0
p_1013_1_,par1Class,0
p_1013_2_,par2AxisAlignedBB,0
p_1013_3_,par3List,0
p_1015_1_,par1Entity,0
p_1016_1_,par1Entity,0
p_1016_2_,par2,0
p_1017_1_,par1,0
p_1017_2_,par2,0
p_1019_1_,par1,0
p_1019_2_,par2,0
p_1019_3_,par3,0
p_1019_4_,par4,0
p_1020_1_,par1,0
p_1020_2_,par2,0
p_1020_3_,par3,0
p_1021_1_,par1,0
p_1021_2_,par2,0
p_1021_3_,par3,0
p_1022_1_,par1,0
p_1022_2_,par2,0
p_1022_3_,par3,0
p_1022_4_,par4,0
p_1023_1_,par1,0
p_1023_2_,par2,0
p_1023_3_,par3,0
p_1025_1_,par1EnumSkyBlock,0
p_1025_2_,par2,0
p_1025_3_,par3,0
p_1025_4_,par4,0
p_1028_1_,par1TileEntity,0
p_1030_1_,par1TileEntity,0
p_1030_2_,par2,0
p_1031_1_,par1TileEntity,0
p_1032_1_,par1TileEntity,0
p_1032_2_,par2,0
p_1032_4_,par4,0
p_1032_6_,par6,0
p_1032_8_,par8,0
p_1033_1_,par1,0
p_1034_1_,par1PathPoint,0
p_1035_1_,par1PathPoint,0
p_1035_2_,par2,0
p_1037_1_,par1,0
p_1040_1_,par1IRecipe,0
p_1040_2_,par2IRecipe,0
p_1042_1_,par1,0
p_1042_2_,par2,0
p_1043_1_,par1EnumOptions,0
p_1045_1_,par1EnumOptions,0
p_1045_2_,par2,0
