class,package
Block,net/minecraft/block
BlockAnvil,net/minecraft/block
BlockBasePressurePlate,net/minecraft/block
BlockBaseRailLogic,net/minecraft/block
BlockBeacon,net/minecraft/block
BlockBed,net/minecraft/block
BlockBookshelf,net/minecraft/block
BlockBreakable,net/minecraft/block
BlockBrewingStand,net/minecraft/block
BlockButton,net/minecraft/block
BlockButtonStone,net/minecraft/block
BlockButtonWood,net/minecraft/block
BlockCactus,net/minecraft/block
BlockCake,net/minecraft/block
BlockCarpet,net/minecraft/block
BlockCarrot,net/minecraft/block
BlockCauldron,net/minecraft/block
BlockChest,net/minecraft/block
BlockClay,net/minecraft/block
BlockCocoa,net/minecraft/block
BlockColored,net/minecraft/block
BlockCommandBlock,net/minecraft/block
BlockComparator,net/minecraft/block
BlockContainer,net/minecraft/block
BlockCrops,net/minecraft/block
BlockDaylightDetector,net/minecraft/block
BlockDeadBush,net/minecraft/block
BlockDetectorRail,net/minecraft/block
BlockDirectional,net/minecraft/block
BlockDirt,net/minecraft/block
BlockDispenser,net/minecraft/block
BlockDoor,net/minecraft/block
BlockDragonEgg,net/minecraft/block
BlockDropper,net/minecraft/block
BlockEnchantmentTable,net/minecraft/block
BlockEndPortal,net/minecraft/block
BlockEndPortalFrame,net/minecraft/block
BlockEnderChest,net/minecraft/block
BlockEventData,net/minecraft/block
BlockFarmland,net/minecraft/block
BlockFence,net/minecraft/block
BlockFenceGate,net/minecraft/block
BlockFire,net/minecraft/block
BlockFlower,net/minecraft/block
BlockFlowerPot,net/minecraft/block
BlockFlowing,net/minecraft/block
BlockFluid,net/minecraft/block
BlockFurnace,net/minecraft/block
BlockGlass,net/minecraft/block
BlockGlowStone,net/minecraft/block
BlockGrass,net/minecraft/block
BlockGravel,net/minecraft/block
BlockHalfSlab,net/minecraft/block
BlockHay,net/minecraft/block
BlockHopper,net/minecraft/block
BlockIce,net/minecraft/block
BlockJukeBox,net/minecraft/block
BlockLadder,net/minecraft/block
BlockLeaves,net/minecraft/block
BlockLeavesBase,net/minecraft/block
BlockLever,net/minecraft/block
BlockLilyPad,net/minecraft/block
BlockLockedChest,net/minecraft/block
BlockLog,net/minecraft/block
BlockMelon,net/minecraft/block
BlockMobSpawner,net/minecraft/block
BlockMushroom,net/minecraft/block
BlockMushroomCap,net/minecraft/block
BlockMycelium,net/minecraft/block
BlockNetherStalk,net/minecraft/block
BlockNetherrack,net/minecraft/block
BlockNote,net/minecraft/block
BlockObsidian,net/minecraft/block
BlockOre,net/minecraft/block
BlockOreStorage,net/minecraft/block
BlockPane,net/minecraft/block
BlockPistonBase,net/minecraft/block
BlockPistonExtension,net/minecraft/block
BlockPistonMoving,net/minecraft/block
BlockPortal,net/minecraft/block
BlockPotato,net/minecraft/block
BlockPoweredOre,net/minecraft/block
BlockPressurePlate,net/minecraft/block
BlockPressurePlateWeighted,net/minecraft/block
BlockPumpkin,net/minecraft/block
BlockQuartz,net/minecraft/block
BlockRail,net/minecraft/block
BlockRailBase,net/minecraft/block
BlockRailPowered,net/minecraft/block
BlockRedstoneLight,net/minecraft/block
